skill1,skill2,value,type
Microsoft Office,Management,1296,h-h
Management,Cloud Computing,120,h-h
Management,Data Center,54,h-h
Management,Integration,462,h-h
Management,ITIL,102,h-h
Program Management,Management,792,h-h
Project Management,Management,1610,h-h
Requirements Analysis,Management,180,h-h
Software Development,Management,234,h-h
Management,Linux,198,h-h
Microsoft SQL Server,Management,114,h-h
SQL,Management,206,h-h
VMware,Management,32,h-h
Unix,Management,70,h-h
Management,Databases,98,h-h
Servers,Management,66,h-h
Virtualization,Management,64,h-h
Windows Server,Management,90,h-h
Solution Architecture,Management,34,h-h
Microsoft Office,Cloud Computing,36,h-h
Microsoft Office,Data Center,14,h-h
Microsoft Office,Integration,184,h-h
Microsoft Office,ITIL,54,h-h
Program Management,Microsoft Office,444,h-h
Project Management,Microsoft Office,1098,h-h
Requirements Analysis,Microsoft Office,62,h-h
Software Development,Microsoft Office,98,h-h
Microsoft Office,Linux,146,h-h
Microsoft SQL Server,Microsoft Office,22,h-h
SQL,Microsoft Office,84,h-h
VMware,Microsoft Office,22,h-h
Unix,Microsoft Office,14,h-h
Microsoft Office,Databases,28,h-h
Servers,Microsoft Office,54,h-h
Virtualization,Microsoft Office,44,h-h
Windows Server,Microsoft Office,56,h-h
Solution Architecture,Microsoft Office,4,h-h
Data Center,Cloud Computing,58,h-h
Integration,Cloud Computing,148,h-h
ITIL,Cloud Computing,48,h-h
Program Management,Cloud Computing,24,h-h
Project Management,Cloud Computing,132,h-h
Requirements Analysis,Cloud Computing,42,h-h
Software Development,Cloud Computing,122,h-h
Linux,Cloud Computing,98,h-h
Microsoft SQL Server,Cloud Computing,56,h-h
SQL,Cloud Computing,96,h-h
VMware,Cloud Computing,44,h-h
Unix,Cloud Computing,68,h-h
Databases,Cloud Computing,52,h-h
Servers,Cloud Computing,56,h-h
Virtualization,Cloud Computing,94,h-h
Windows Server,Cloud Computing,70,h-h
Solution Architecture,Cloud Computing,56,h-h
Integration,Data Center,76,h-h
ITIL,Data Center,50,h-h
Program Management,Data Center,16,h-h
Project Management,Data Center,76,h-h
Requirements Analysis,Data Center,6,h-h
Software Development,Data Center,50,h-h
Linux,Data Center,80,h-h
Microsoft SQL Server,Data Center,26,h-h
SQL,Data Center,50,h-h
VMware,Data Center,100,h-h
Unix,Data Center,56,h-h
Databases,Data Center,4,h-h
Servers,Data Center,78,h-h
Virtualization,Data Center,96,h-h
Windows Server,Data Center,80,h-h
Solution Architecture,Data Center,12,h-h
Integration,ITIL,100,h-h
Program Management,Integration,346,h-h
Project Management,Integration,556,h-h
Requirements Analysis,Integration,210,h-h
Software Development,Integration,340,h-h
Linux,Integration,244,h-h
Microsoft SQL Server,Integration,166,h-h
SQL,Integration,250,h-h
VMware,Integration,54,h-h
Unix,Integration,114,h-h
Integration,Databases,144,h-h
Servers,Integration,70,h-h
Virtualization,Integration,104,h-h
Windows Server,Integration,88,h-h
Solution Architecture,Integration,62,h-h
Program Management,ITIL,48,h-h
Project Management,ITIL,138,h-h
Requirements Analysis,ITIL,32,h-h
Software Development,ITIL,70,h-h
Linux,ITIL,88,h-h
Microsoft SQL Server,ITIL,64,h-h
SQL,ITIL,72,h-h
VMware,ITIL,60,h-h
Unix,ITIL,14,h-h
ITIL,Databases,36,h-h
Servers,ITIL,88,h-h
Virtualization,ITIL,70,h-h
Windows Server,ITIL,108,h-h
Solution Architecture,ITIL,6,h-h
Project Management,Program Management,788,h-h
Requirements Analysis,Program Management,144,h-h
Software Development,Program Management,160,h-h
Program Management,Linux,100,h-h
Program Management,Microsoft SQL Server,48,h-h
SQL,Program Management,100,h-h
VMware,Program Management,6,h-h
Unix,Program Management,22,h-h
Program Management,Databases,56,h-h
Servers,Program Management,4,h-h
Virtualization,Program Management,6,h-h
Windows Server,Program Management,10,h-h
Solution Architecture,Program Management,12,h-h
Requirements Analysis,Project Management,212,h-h
Software Development,Project Management,328,h-h
Project Management,Linux,278,h-h
Project Management,Microsoft SQL Server,156,h-h
SQL,Project Management,286,h-h
VMware,Project Management,72,h-h
Unix,Project Management,106,h-h
Project Management,Databases,134,h-h
Servers,Project Management,110,h-h
Virtualization,Project Management,118,h-h
Windows Server,Project Management,132,h-h
Solution Architecture,Project Management,52,h-h
Software Development,Requirements Analysis,122,h-h
Requirements Analysis,Linux,48,h-h
